product_name,category,discounted_price,actual_price,discount_percentage,rating_count,about_product,product_link
"STRIFF Multi Angle Tablet/Mobile Stand. Holder for iPhone, Android, Samsung, OnePlus, Xiaomi. Portable,Foldable Stand.Perfect for Bed,Office, Home,Gift and Desktop (Black)",Electronics|Mobiles&Accessories|MobileAccessories|Stands,₹99,₹499,80%,"2,451","[PORTABLE SIZE]- 98mm*86mm, STRIFF desk phone stand is foldable and easy to slip into your pocket suitable for bed,table and home|[MULTI ANGLE ADJUSTABLE] - Directly adjust to your preferred angle among 10 different viewing angles, from 0° to 100°.Hold your smartphone or mini tablet in portrait or landscape mode safe|[PREMIUM MATERIAL] - Superior ABS and rubber pads on the bottom to protect the stand from sliding and durable in usage|[USEFUL DESKTOP CELL PHONE STAND] - Hold your smartphone or mini tablet at a comfortable angle, ideal for watching video, reading, video recording or simply browsing the web, playing games, facetime and other handsfree operation at home, office and travel|[UNIVERSAL COMPATIBILITY] - Works with all 4- 7.9 Inch smartphones, mini tablets and e-readers including iPhone X 8 8 Plus 7 7Plus 6S 6S Plus 6Plus 5 iPad mini, Google Pixel Pixel 2 Pixel XL, Nexus 5X 6P 4 5 7, LG G2 G3 G4 G5 G6 V10 V20 V30 K10 K20, Samsung Galaxy S9 S9+ S8 S8 Plus S7 Edge S6 S5 S4 J7 J3 Galaxy Note 8, HTC, Moto, Nokia, Huawei android phones and more|0|0",https://www.amazon.in/STRIFF-Android-Portable-Foldable-Stand-Perfect/dp/B09VZBGL1N/ref=sr_1_257?qid=1672895821&s=electronics&sr=1-257
"EN LIGNE Adjustable Cell Phone Stand, Foldable Portable Phone Stand Phone Holder for Desk, Desktop Tablet Stand Compatible with Mobile Phone/iPad/Tablet (Black)",Electronics|Mobiles&Accessories|MobileAccessories|Stands,₹209,₹499,58%,104,"This adjustable cell phone stand for desk is widely used in all mobile phones and tablets below 15 inches. The stand is compatible with iPhone, Samsung Galaxy, Huawei, LG, Sony, Xiaomi,VIVO,OPPO,nexus and all types of smart phones including case.|The desktop mobile phone bracket can be folded, and the folding mobile phone bracket takes up almost no space when storing, so it is easy to carry in the pocket or bag. You can use the mobile phone bracket at any time, which is a great partner for watching YouTube videos or FaceTime calls. Perfect choice for home, travel or business. With it, your life will be easier and more convenient.|This desktop adjustable mobile phone bracket is ergonomically designed. The height and angle can be adjusted to meet your different viewing needs. This mobile phone bracket riser provides you with a comfortable view, which helps to hold your posture and reduce pressure on your neck and back. You can enjoy your games, videos and face-to-face time hands free.|The Mobile Holder Is A Handy Tool For Your Kitchen Routine As Well. You Can Use A Holder To Fasten Your Mobile Phone To Watch A Video On Youtube, The Premier Of Your Favourite Actor's New Release, Or A Recipe For The Subtle Savour Of A New Cuisine While Scouring The Pots And Pans. Aren't You Saving Up On Time And Preventing Your Smartphone From Getting Wet",https://www.amazon.in/EN-LIGNE-Adjustable-Tabletop-Compatible/dp/B0B3DV7S9B/ref=sr_1_293?qid=1672895835&s=electronics&sr=1-293
"Ambrane Mobile Holding Stand, 180° Perfect View, Height Adjustment, Wide Compatibility, Multipurpose, Anti-Skid Design (Twistand, Black)",Electronics|Mobiles&Accessories|MobileAccessories|Stands,₹199,₹499,60%,"1,786",Multipurpose Stand: It is a dynamic Mobile Stand for your ofﬁce desks and more. It can hold any type of smartphone easily.|Supreme Quality: Twistand is made up of premium metal with a water-repellant ceramic finish. It gives you a hassle-free and hands-free experience.|Telescopic Height Adjustment: It gives you freedom to adjust its height from 125mm to 164mm according to your needs.|Perfect View: It has an adjustable design which you can reshape according to your smartphone on the desks to give you perfect viewing angle.|Anti-skid Body: The anti-skid pads on the body prevents accidental slips and protection from scratches.,https://www.amazon.in/Ambrane-Adjustment-Compatibility-Multipurpose-Anti-Skid/dp/B09ZPL5VYM/ref=sr_1_81?qid=1672895770&s=electronics&sr=1-81
"KINGONE Wireless Charging Pencil (2nd Generation) for iPad with Magnetic and Tilt Sensitive, Palm Rejection, Compatible with Apple iPad Pro 11 inch 1/2/3/4, iPad Pro 12.9 Inch 3/4/5/6, iPad Air 4/5, mini6",Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,"₹2,599","₹6,999",63%,"1,526","【2022 latest iPad Magnetic Charging】 The latest iPad pen developed by KINGONE provides true wireless charging without cables, just like Apple Pencil2. Automatic Bluetooth pairing and charging. You can keep charging your iPad while you carry it. It also perfectly solves the problems of obvious heating, slow charging, and sudden crash of the iPad when charging other wireless charging styluses. You can use it without any worries|【Ultra-High-Precision 0-delay】KINGONE's latest iPad pencil is equipped with the latest ultra-high-precision chip, which solves various problems such as slow response, disconnection, delay, and misalignment of other styluses. Whether you're drawing or taking notes, you can use it comfortably and have the same writing comfort as the Apple Pencil as if you were writing on real paper|【Excellent Easy of Use】This iPad stylus uses physical buttons. Compared with other touch switches, there will be no accidental power on/off, which greatly improves the ease of use and experience. 6 major functions such as quick screenshot, handwriting in the text box, shape correction, and return to the [home screen] with a single switch, enjoy iPad anytime, anywhere! Additionally, the nib is interchangeable with Apple Pencil 1st/2nd generation for a wide range of applications|【Tilt Sensing & Malfunction Prevention】KINGONE's latest iPad stylus is equipped with anti-palm touch and tilt sensing functions, allowing your hands to rest naturally on the iPad, just like drawing on paper. You can dynamically adjust the thickness of the lines according to the placement angle of the chip, and draw and write as you like. The perfect gift for parents, kids, friends, colleagues, and classmates!|【Compatible Models & Warranty】Pay attention to the applicable models! Please check your iPad model before purchasing. Compatible Models: iPad Pro 12.9-inch (3rd/4th/5th/6th generation), iPad Pro 11-inch, iPad Air (3rd/4th generation), iPad mini 6. If you have any questions during use, please don't hesitate to contact us",https://www.amazon.in/Wireless-Generation-Sensitive-Rejection-Compatible/dp/B0B9BD2YL4/ref=sr_1_500?qid=1672895894&s=electronics&sr=1-500
"KINGONE Upgraded Stylus Pen, iPad Pencil, Ultra High Precision & Sensitivity, Palm Rejection, Prevents False ON/Off Touch, Power Display, Tilt Sensitivity, Magnetic Adsorption for iPad 2018 and Later",Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,"₹2,099","₹5,999",65%,"17,129","25MIN FAST CHARGE & UPGRADED NIB - 5 minutes of charging will give you 2 hours of use. It can be used continuously for more than 10 hours with a full charge of 25 minutes ALSO improved accuracy, sensitivity, and durability, precise point control writing, no scratches on the screen, no lag/offset/break, higher sensitivity, no resistance|PALM REJECTION - You can put your hand comfortably on the screen when drawing or writing with palm rejection, no need to wear gloves for more convenient writing or drawing which fits people who take notes or draw pictures on iPad for a long time!|TILT FUNCTION & MAGNETIC ADSORPTION - The latest tilt-sensing technology, You only need to adjust the angle to draw the picture you like, just like using a pencil. In addition, Magnetically be able to attach the iPad Pro (3rd Gen only) side face, no more rolling and prevent loss and more portable also it has a flat surface to prevent it from falling|USB-C CHARGING & LED CHARGING DISPLAY - Kingone digital pencil has upgraded the LED power display function. Compared with the other pen, this new feature can more easily know the remaining power and it will automatically turn in ""Sleep Mode"" after idle for 5 minutes to save power. And the stylus support 10 hours of continuous working and 180 days standby time for about 1 hour per charge|ACCIDENTALLY ON/OFF PREVENTION - Kingone use Double tap ON/OFF on stylus which can prevents from accidental switch OFF, No need Bluetooth, just tap the end of the pencil twice to turn it on/off, Avoiding the problem of accidentally turning on/off by mistake touch once which can save a lot of power and greatly improve the experience; Kingone IPad Stylus Pen for 2018 and later: iPad (6/7/8/9 Gen), iPad Pro (3/4 Gen), iPad Pro 11 inch, iPad Air (3/4 Gen), iPad mini (3rd gen) 5/6 Gen)",https://www.amazon.in/Upgraded-Precision-Sensitivity-Rejection-Adsorption/dp/B09KGV7WSV/ref=sr_1_139?qid=1672903001&s=computers&sr=1-139
"KINGONE Upgraded Stylus Pen, iPad Pencil, Ultra High Precision & Sensitivity, Palm Rejection, Prevents False ON/Off Touch, Power Display, Tilt Sensitivity, Magnetic Adsorption for iPad 2018 and Later",Electronics|Mobiles&Accessories|MobileAccessories|StylusPens,"₹2,099","₹5,999",65%,"17,129","25MIN FAST CHARGE & UPGRADED NIB - 5 minutes of charging will give you 2 hours of use. It can be used continuously for more than 10 hours with a full charge of 25 minutes ALSO improved accuracy, sensitivity, and durability, precise point control writing, no scratches on the screen, no lag/offset/break, higher sensitivity, no resistance|PALM REJECTION - You can put your hand comfortably on the screen when drawing or writing with palm rejection, no need to wear gloves for more convenient writing or drawing which fits people who take notes or draw pictures on iPad for a long time!|TILT FUNCTION & MAGNETIC ADSORPTION - The latest tilt-sensing technology, You only need to adjust the angle to draw the picture you like, just like using a pencil. In addition, Magnetically be able to attach the iPad Pro (3rd Gen only) side face, no more rolling and prevent loss and more portable also it has a flat surface to prevent it from falling|USB-C CHARGING & LED CHARGING DISPLAY - Kingone digital pencil has upgraded the LED power display function. Compared with the other pen, this new feature can more easily know the remaining power and it will automatically turn in ""Sleep Mode"" after idle for 5 minutes to save power. And the stylus support 10 hours of continuous working and 180 days standby time for about 1 hour per charge|ACCIDENTALLY ON/OFF PREVENTION - Kingone use Double tap ON/OFF on stylus which can prevents from accidental switch OFF, No need Bluetooth, just tap the end of the pencil twice to turn it on/off, Avoiding the problem of accidentally turning on/off by mistake touch once which can save a lot of power and greatly improve the experience; Kingone IPad Stylus Pen for 2018 and later: iPad (6/7/8/9 Gen), iPad Pro (3/4 Gen), iPad Pro 11 inch, iPad Air (3/4 Gen), iPad mini (3rd gen) 5/6 Gen)",https://www.amazon.in/Upgraded-Precision-Sensitivity-Rejection-Adsorption/dp/B09KGV7WSV/ref=sr_1_131?qid=1672895784&s=electronics&sr=1-131
"Motorola a10 Dual Sim keypad Mobile with 1750 mAh Battery, Expandable Storage Upto 32GB, Wireless FM with Recording - Rose Gold",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,"₹1,399","₹1,630",14%,"9,378","Ensured Power packed performance with Mediatek processor expandable memory upto 32 GB|Dual Sim with big 1750mAh battery gives you twice the power of other phones|Get 2 Years replacement warranty on motorola keypad mobile phone|Modern, sturdy and Stylish Looks which you would love to flaunt|Entertain yourself with wireless FM with recording feature|Experience loud and crystal clear sound|Easily increase text size as per your convenience",https://www.amazon.in/Motorola-keypad-Mobile-Expandable-Battery/dp/B09JS562TP/ref=sr_1_125?qid=1672895784&s=electronics&sr=1-125
"Lava A1 Josh 21(Blue Silver) -Dual Sim,Call Blink Notification,Military Grade Certified with 4 Day Battery Backup, Keypad Mobile",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,"₹1,055","₹1,249",16%,"2,352",Display Size- 1.77Inch|Battery- 800MAh | 4 days long Battery|Auto Call recording available|Bluetooth Support|Number Talker,https://www.amazon.in/Lava-Notfication-recoding-Military-Certified/dp/B09BF8JBWX/ref=sr_1_411?qid=1672895872&s=electronics&sr=1-411
"Nokia 105 Plus Single SIM, Keypad Mobile Phone with Wireless FM Radio, Memory Card Slot and MP3 Player | Red",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|BasicMobiles,"₹1,324","₹1,699",22%,"1,28,311","All-new redesigned Nokia mobile which is familiar and easy to use|Island style keypad phone with white key lettering|High quality 1.77” screen|Pre-loaded games including the classic keypad mobile phone game - Snake|Enjoy all-new wireless FM radio|Listen to music on the MP3 Player and save your favourite songs on the built in memory card slot|Save 2,000 contacts and up to 500 SMS on your Nokia 105 Plus mobile phone",https://www.amazon.in/Nokia-105-Single-Keypad-Wireless/dp/B09YDFDVNS/ref=sr_1_117?qid=1672895777&s=electronics&sr=1-117
"realme narzo 50 (Speed Blue, 4GB RAM+64GB Storage) Helio G96 Processor | 50MP AI Triple Camera | 120Hz Ultra Smooth Display",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,"₹12,999","₹15,999",19%,"13,246","Processor: Octa-core MediaTek Helio G96 gaming processor clocked at 2.05GHz for excellent gaming performance along with a powerful Mali-G57 MC2 GPU.|Display: 6.6 inch FHD+ (2412x1080) display comes with an ultra-smooth 120Hz high refresh rate display and a 90.8% Screen-to-body ratio|50MP + 2MP + 2MP AI triple rear camera setup with 50MP Mode, Ultra Steady Video, Night Mode, Panoramic view| Crystal clear 16MP Selfie Camera|5000mAh Massive Battery with 33W Dart charging support. The 33W Dart charger is included in the box with a USB Type-C cable.|4 GB RAM LPDDR4X Fast memory | 64 GB ROM UFS 2.1",https://www.amazon.in/realme-Storage-Processor-Triple-Display/dp/B09RMQYHLH/ref=sr_1_52?qid=1672895762&s=electronics&sr=1-52
"Redmi Note 11 (Space Black, 6GB RAM, 64GB Storage) | 90Hz FHD+ AMOLED Display | Qualcomm® Snapdragon™ 680-6nm | 33W Charger Included",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,"₹12,999","₹18,999",32%,"50,772","Display: 90Hz FHD+ (1080x2400) AMOLED display; 16.33 centimeters (6.43 inch); 20:9 aspect ratio|Camera: 50 MP Quad Rear camera with 8MP Ultra-wide, 2MP Macro and Portrait lens| 13 MP Front camera|Battery: 5000 mAh large battery with 33W Pro fast charger in-box and Type-C connectivity|Processor: Qualcomm Snapdragon 680 Octa-core; 6nm processor; Up to 2.4GHz clock speed|Memory, Storage & SIM: 6GB RAM | 64GB UFS 2.2 storage expandable up to 512GB with dedicated SD card slot | Dual SIM (nano+nano) dual standby (4G+4G)",https://www.amazon.in/Redmi-Storage-Qualcomm%C2%AE-SnapdragonTM-Included/dp/B09QS9X16F/ref=sr_1_218?qid=1672895814&s=electronics&sr=1-218
"OnePlus 10R 5G (Forest Green, 8GB RAM, 128GB Storage, 80W SuperVOOC)",Electronics|Mobiles&Accessories|Smartphones&BasicMobiles|Smartphones,"₹34,999","₹38,999",10%,"11,029","Camera: 50MP Main Camera with Sony IMX766 and 2MP Macro Camera with Dual LED Flash; 16MP Front (Selfie) Camera with Sony IMX471|Camera Features: Nightscape2.0, Super Macro, UltraShot HDR, Smart Scene Recognition, Portrait mode, Pro mode, Panorama, Tilt-shift mode, Focus Peaking, Filters, Video Nightscape, Video HDR, Video Portrait Timelapse, Hyperlapse Mode|Display: 6.7 Inches; 120 Hz IRIS Display; Resolution: 2400 X 1080 pixels 394 ppi; Aspect Ratio: 20:9|Display Features: Hyper Touch Mode, Reading Mode, Night Mode, Eye Comfort Mode, Auto brightness|Operating System: OxygenOS based on Android 12, Processor: MTK D8100 Max|Battery & Charging: 5000 mAh with 80W SuperVOOC. In-Display Fingerprint Sensor|Special Features: Hyperboost gaming engine",https://www.amazon.in/OnePlus-Forest-Green-Storage-SuperVOOC/dp/B09WRMNJ9G/ref=sr_1_79?qid=1672895770&s=electronics&sr=1-79
Belkin Essential Series 4-Socket Surge Protector Universal Socket with 5ft Heavy Duty Cable (Grey),Electronics|PowerAccessories|SurgeProtectors,"₹1,289","₹1,499",14%,"20,668","Maximum Spike Current: 6500 Amps|Grounds AC power with 3-line protection through all 4 sockets|Delivers power through a 1.5-metre, heavyduty cables|superior design|The response time of this Belkin Essential 4 socket surge protector is less than 1 nano second, making it an efficient voltage stabilizer|Lifetime Warranty(Max 5 Years)",https://www.amazon.in/Belkin-Essential-F9E400zb1-5MGRY-4-Socket-Protector/dp/B0083T231O/ref=sr_1_430?qid=1672903016&s=computers&sr=1-430
"boAt Xtend Smartwatch with Alexa Built-in, 1.69” HD Display, Multiple Watch Faces, Stress Monitor, Heart & SpO2 Monitoring, 14 Sports Modes, Sleep Monitor, 5 ATM & 7 Days Battery(Charcoal Black)",Electronics|WearableTechnology|SmartWatches,"₹2,299","₹7,990",71%,"69,622","Alexa- Alexa built-in Voice Assistant that sets reminders, alarms and answers questions from weather forecasts to live cricket scores at your command!|Screen Size- ;1.69"" big square colour LCD display with a round dial features complete capacitive touch experience to let you take control, effortlessly.|Watch Faces- Multiple watch faces with customizable options to match your OOTD, every day!|Brightness- The ambient light display allows automatic adjustment of brightness on the watch, suited to your environment|HR & SpO2- The watch comes with a stress monitor that reads your HR to indicate stress levels.It also monitors your heart rate and SpO2 (blood oxygen levels) to keep a tab on your overall health.|Sleep Monitor- Track all stages of sleep every night and keep a tab on your sleep health with the sleep monitoring feature on the watch.|Sports Friendly- Its 14 sports mode and 5 ATM dust, splash and sweat resistance makes it the perfect fitness companion to have.",https://www.amazon.in/boAt-Display-Multiple-Monitoring-Charcoal/dp/B09MQSCJQ1/ref=sr_1_64?qid=1672895762&s=electronics&sr=1-64
"boAt Flash Edition Smart Watch with Activity Tracker, Multiple Sports Modes, 1.3"" Screen, 170+ Watch Faces, Sleep Monitor, Gesture, Camera & Music Control, IP68 & 7 Days Battery Life(Lightning Black)",Electronics|WearableTechnology|SmartWatches,"₹1,799","₹6,990",74%,"26,880","1.3""(33mm) LCD display with a round dial that sports complete capacitive and responsive touch interface for effortless control.|The health monitoring feature in the watch helps you keep a track of heart rate & blood oxygen levels.|The daily activity tracker records daily steps taken, calories burnt and distances covered. Battery Capacity - 200mAh, Working Time - Up to 7 Days, Charging Time - 2 Hours|10 active sports modes include: running, walking, cycling, climbing, yoga, basketball, football, badminton, skipping & swimming.|Loaded with features, the watch Flash offers 7 day (when in use) battery life so you never miss the fun. Up to 20 days on stand by.|Customize your watch with 6 watch faces to match your style, every day!|Receive all important notifications, from calls & texts, to social media & sedentary alerts, all in one place.",https://www.amazon.in/boAt-Flash-Smartwatch-Resistance-Lightning/dp/B0949SBKMP/ref=sr_1_188?qid=1672895799&s=electronics&sr=1-188
"boAt Newly Launched Wave Electra with 1.81"" HD Display, Smart Calling Ultra-Seamless BT Calling Chip, 20 Built-in Watch Faces, 100 + Sports Modes, Menu Personalization, in-Built Games(Cherry Blossom)",Electronics|WearableTechnology|SmartWatches,"₹2,499","₹7,990",69%,154,"Screen Size- Big and Bold meets Bright and Sharp with a 1.81” HD Display. Backed with 2.5D curved display, 550 nits brightness & its seamless edge design, it makes it the ideal metal body you want strapped on your wrist.|Seamless BT Calling- Calling made convenient with just a tap on Wave Electra. Dial and receive calls anytime, anywhere and save up to 50 contacts.|20 inbuilt Watch Faces- Be Spoilt for choice, with 20+ inbuilt watch faces. Find the one that matches your vibe with over 100+ on the cloud.|Sports Modes- Switch up your fitness and sports routines with 100+ Sports modes to choose from. Cricket, Football, Judo, Skipping, Rock Climbing, Dance, Hockey, Basketball, Volley ball and a lot more to choose from!|Personalization- Add a touch of personalisation to your watch with 2 menu style options to choose from. Easily navigate through the watch and keep all your go-to features just a swipe away by adding or deleting feature pages on the home screen.|Inbuilt Games- Get your fun on! Make and beat your high scores with 2 games - Whack-A-Mole and 2048.|HR, SpO2 & Breath- Wave electra smart watch keeps a tab on your HR and SpO2 levels and provides breath training to keep stress in check.IP Rating- This smart watch is has IP68 rating making it dust, sweat and splash resistant.",https://www.amazon.in/boAt-Launched-Electra-Ultra-Seamless-Personalization/dp/B0BNVBJW2S/ref=sr_1_259?qid=1672895821&s=electronics&sr=1-259
Dr Trust Electronic Kitchen Digital Scale Weighing Machine (Blue),Health&PersonalCare|HomeMedicalSupplies&Equipment|HealthMonitors|WeighingScales|DigitalBathroomScales,₹899,"₹1,900",53%,"3,663","Tare function: It comes with tare function which allows you to measure the weight of all ingredients separately after adding one after another without having to remove the previous ingredients. It also allows user to cancel out the weight of the container in which the ingredients are measured ; NOTE: Place your weighing machine on flat surface to get an accurate results|Measure weight up to 5 kg: equipped with high precision measurement sensors (accu gauge), the device meets your precise weighing requirements every single time. its weighing capacity is 1g to 5kg with unit shuffling feature between g/lb: oz and ml/fl: oz|Comes with a bpa free bowl: it comes with a bpa free detachable and lightweight bowl which complements well with the machine. you can flip the bowl over on top of the scale to save space during storage. Product Weight: 406 gm|Measurement units can be converted: it can display weight in a lot of units of measurement. you can easily convert units between pounds (lb), ounces (oz) and grams (g). also it has two volume unit systems ml and fl’oz|Low battery indicator: dr trust electronic kitchen weighing scale comes with low battery indicators that allow the user to replace the battery before it shuts down|Auto off function: auto off function feature turns off the scale automatically when it is left idle for few minutes which helps to prevent the wastage of batteries|Easy to use and store: it is convenient to use and store. it is compact and can be easily placed on the kitchen counter. also it is easy to move from one place to another",https://www.amazon.in/Dr-Trust-Electronic-Kitchen-Weighing/dp/B07BKSSDR2/ref=sr_1_265?qid=1672923605&s=kitchen&sr=1-265
Apsara Platinum Pencils Value Pack - Pack of 20,Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pencils|WoodenPencils,₹99,₹99,0%,"5,036",Extra dark writing pencils|No. 1 recommended stationary by teachers for children|Designed to aid legibility,https://www.amazon.in/Apsara-Platinum-Pencils-Value-Pack/dp/B00VA7YYUO/ref=sr_1_296?qid=1672903010&s=computers&sr=1-296
Classmate Octane Colour Burst-Multicolour Gel Pens (Pack of 10) | Gold & Silver Glitter Sparkle Pens|10 colour ink shades for art lovers and kids|Fun at home essentials,Home&Kitchen|CraftMaterials|DrawingMaterials|DrawingMedia|Pens,₹90,₹100,10%,"10,718",10 Rich colours with silver and gold options|Comforatble writing grip|Stylish sculpted design,https://www.amazon.in/Classmate-ITC-Octane-Colourburst-Pen/dp/B07JB2Y4SR/ref=sr_1_343?qid=1672903012&s=computers&sr=1-343
Camel Oil Pastel with Reusable Plastic Box - 50 Shades,Home&Kitchen|CraftMaterials|PaintingMaterials,₹230,₹230,0%,"9,427","50 assorted shades + 1 scraping tool|Confirms to safety standard EN 71 - 3|Camel Art Contest entry coupon inside the pack|Best result can be seen on Drawing Paper. These colours can adhere easily to surfaces like textured paper, sketching paper or even smooth tinted paper|Reusable Plastic Box",https://www.amazon.in/Camel-Oil-Pastel-Reusable-Plastic/dp/B00LY12TH6/ref=sr_1_448?qid=1672903017&s=computers&sr=1-448
"Camel Artist Acrylic Color Box - 9ml Tubes, 12 Shades",Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,₹310,₹310,0%,"5,882",Set of 12 assorted Shades in 9 ml tubes,https://www.amazon.in/Camel-Camlin-Kokuyo-Acrylic-Color/dp/B00KIE28X0/ref=sr_1_334?qid=1672903011&s=computers&sr=1-334
"Camel Fabrica Acrylic Ultra Color - 15ml each, 10 Shades",Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,₹200,₹230,13%,"10,170",10 assorted ultra shades in 15ml bottle|Confirms to safety standard EN 71 - 3|Camel fabric acrylic colours are permanent on absorbent surfaces,https://www.amazon.in/Camel-Camlin-Kokuyo-Fabrica-Acrylic/dp/B00LY1FN1K/ref=sr_1_359?qid=1672903012&s=computers&sr=1-359
"PIDILITE Fevicryl Acrylic Colours Sunflower Kit (10 Colors x 15 ml) DIY Paint, Rich Pigment, Non-Craking Paint for Canvas, Wood, Leather, Earthenware, Metal, Diwali Gifts for Diwali",Home&Kitchen|CraftMaterials|PaintingMaterials|Paints,₹191,₹225,15%,"7,203","Vibrant Colours - Make paintings pop out using the 10 vibrant shades. The Sunflower Acrylic Kit has acrylic colours for creating art and tones that bring out the artistic mood. It lets artists give depth and dimension to their creations|Multisurface Use - The Fevicryl Acrylic Sunflower Kit comprises of vibrant painting colours and refined shades that work across a wide variety of mediums. Apply these paints to various surfaces like wood, canvas, leather, terracotta and even fabrics.|Non-Toxic and Safe -The colouring kit is safe for use by young artists. The paints are made using non-toxic substances and pose no health risk. The cleanup is also very easy after you're done creating art projects.|Very Beginner-Friendly - No need to be an expert artist to use this. Grab a piece of cloth or paper, set up your colouring palette and get ready to have a fun time.",https://www.amazon.in/Fevicryl-Acrylic-colors-Sunflower-Shades/dp/B00LXTFMRS/ref=sr_1_72?qid=1672902997&s=computers&sr=1-72
"3M Scotch Double Sided Heavy Duty Tape(1m holds 4.5Kgs) for indoor hanging applications (Photo frames, Mirrors, Key Holders, Car Interiors, Extension Boards, Wall decoration, etc)(L: 3m, W: 24mm)",Home&Kitchen|CraftMaterials|Scrapbooking|Tape,₹130,₹165,21%,"14,778","Sticks to most surfaces includingwalls, ceramic tiles and wood-surfacesthat are clean, dry and smooth#.|A no-mess alternative to glue forlight-duty attaching andmounting tasks.|Ideal for permanent mounting tasks.",https://www.amazon.in/Scotch-Double-Foam-Tape-24/dp/B00N1U9AJS/ref=sr_1_36?qid=1672902996&s=computers&sr=1-36
"LG 1.5 Ton 5 Star AI DUAL Inverter Split AC (Copper, Super Convertible 6-in-1 Cooling, HD Filter with Anti-Virus Protection, 2022 Model, PS-Q19YNZE, White)","Home&Kitchen|Heating,Cooling&AirQuality|AirConditioners|Split-SystemAirConditioners","₹42,990","₹75,990",43%,"3,231","Split AC with inverter compressor: variable speed compressor which adjusts power depending on heat load. It is most energy efficient and has lowest-noise operation;Capacity: 1.5 Ton Suitable for medium sized rooms (111 to 150 sq ft.)|Energy Rating: 5 Star - Best in class efficiency | Annual Energy Consumption: 818.81 Units per year | ISEER Value: 4.73 (Please Refer Energy Label On Product Page Or Contact Brand For More Details) . The star rating is as per BEE guidelines on or before 30th June 2022.|Manufacturer Warranty: 1 Year on Product, 5 Years on PCB and 10 Years on Compressor with gas charging|Copper With ocean black protection: Prevents from rust & corrosion;Increase durability;Uninterrupted cooling|Power Source Type: Corded Electric;Controller Type: Remote Control;Control Method: Remote;Warranty Type: Limited",https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-PS-Q19YNZE/dp/B09NS5TKPN/ref=sr_1_381?qid=1672923611&s=kitchen&sr=1-381
"Philips Air Purifier Ac2887/20,Vitashield Intelligent Purification,Long Hepa Filter Life Upto 17000 Hours,Removes 99.9% Airborne Viruses & Bacteria,99.97% Airborne Pollutants,Ideal For Master Bedroom","Home&Kitchen|Heating,Cooling&AirQuality|AirPurifiers|HEPAAirPurifiers","₹14,499","₹23,559",38%,"2,026","Philips is the No.1 Brand in Air Purifiers in India (Source: Euromonitor International Limited; Consumer Appliances 2020ED)|VITASHIELD INTELLIGENT PURIFICATION: Automatically senses air quality and removes 99.97% airborne pollutants as small as 0.003 microns, 800 times smaller than PM 2.5|FAST PURIFICATON: Purifies a standard room in just 10 minutes with a CADR of 333 m3/hour (Standard room size is 18 ft by 12 ft with an 8 ft ceiling height)|IDEAL FOR MASTER BEDROOM: Air Purifier is recommended for an area 269-409 sq ft|WARRANTY: Comes with 2 years worldwide warranty & free home service*.|AIRMID CERTIFICATION: Removes 99.9% bacteria and viruses, tested to remove airborne H1N1 virus|ECARF CERTIFICATION: Removes 99.99% pollen and house dust mites, Allergy friendly quality tested by ECARF",https://www.amazon.in/Philips-AeraSense-AC2887-20-Purifier/dp/B01KCSGBU2/ref=sr_1_249?qid=1672923605&s=kitchen&sr=1-249
"Philips AC1215/20 Air purifier, removes 99.97% airborne pollutants, 4-stage filtration with True HEPA filter (white)","Home&Kitchen|Heating,Cooling&AirQuality|AirPurifiers|HEPAAirPurifiers","₹8,799","₹11,995",27%,"4,157","Philips is the No.1 Brand in Air Purifiers in India (Source: Euromonitor International Limited; Consumer Appliances 2020ED)|VITASHIELD INTELLIGENT PURIFICATION: Automatically senses air quality and removes 99.97% airborne pollutants as small as 0.003 microns, 800 times smaller than PM 2.5|FAST PURIFICATION: Purifies a standard room in just 12 minutes with a CADR of 270 m3/hour (Standard room size is 18 ft by 12 ft with an 8 ft ceiling height). Recommended room area: up to 250 sq ft.|3 STAGE FILTRATION: Air Purifier processes the air through pre filter, activated carbon filter & TRUE HEPA Filter|REAL TIME AIR QUALITY FEEDBACK: It provides feedback through 4-color air quality indicator|AIRMID CERTIFICATION: Removes 99.9% bacteria and viruses, tested to remove airborne H1N1 virus|ECARF CERTIFICATION: Removes 99.99% pollen and house dust mites, Allergy friendly quality tested by ECARF|AUTO-AMBIENT LIGHTING : Adjusts the light levels of the device in according to the light in the room in Night Mode",https://www.amazon.in/Philips-AC1215-20-Purifier-White/dp/B01L6MT7E0/ref=sr_1_231?qid=1672923603&s=kitchen&sr=1-231
